"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Основной функционал","2","Регистрация и Авторизация","1","0","Авторизация","0"
"0","Базы данных","0","","1","0","Подключение к mongo","0"
"0","Основной функционал","0","Ставки","1","0","Создание ставки","0"
"0","Основной функционал","0","Регистрация и Авторизация","1","0","Регистрация","0"
